Image_ID,image_name,feature1,feature2,feature3,feature4,PPE
58,packing1459_jpg.rf.0fd3517c2ae65276845870a52796436c.jpg,99,112,121,140,no_goggles
60,packing1122_jpg.rf.0fb83b4b86cd73edfe45d1273e75d415.jpg,346,238,391,267,no_goggles
63,packing1749_jpg.rf.0fae9e2e10e5ed1a1083391761aca70d.jpg,108,96,137,122,no_goggles
64,packing687_jpg.rf.0f9da4538b62be020c2d9e549e3dd361.jpg,277,107,299,121,goggles
65,kp843_jpg.rf.0fc22346c66ba6368f671fe4a0c01b4c.jpg,248,321,275,351,goggles
66,packing1868_jpg.rf.0fc74d903dfd268a6af837d89293df35.jpg,118,95,142,118,no_goggles
67,PP02img825_jpg.rf.0fb695e09f69c1c06c754c2e790ae9b4.jpg,306,107,328,165,no_glove
69,img490_jpg.rf.0fd4de38780f7bed06f0c3ddcb1e7a1e.jpg,292,144,329,217,glove
74,kp603_jpg.rf.0fa4ff32993fed57c6ac358c3a31ed94.jpg,163,302,190,325,goggles
76,kp675_jpg.rf.0fd08084af9313a2a7ef1538ca4b7aed.jpg,169,305,196,327,goggles
77,packing1812_jpg.rf.0ff83551d57fa7fac0af0f7ff65c7ba6.jpg,354,161,384,186,goggles
78,packing732_jpg.rf.0fe14a0ef5da8da344debb9d6515104b.jpg,304,111,327,137,goggles
79,kp1560_jpg.rf.0feb42a7477ec15f2091a5fb034ffa9b.jpg,162,304,191,327,no_goggles
81,PP02img61_jpg.rf.0fdb0002760990a0dc2b890a4d9d83be.jpg,297,205,351,259,no_glove
87,PP02img1437_jpg.rf.0fddbfb95ccdf2cf83cfa2fe6fb43a74.jpg,75,282,100,349,glove
93,img279_jpg.rf.0fe8562cdf1d356fd833eb6c442594b8.jpg,263,254,308,345,glove
97,PP02img715_jpg.rf.0ff4206b7fccce08460f7512db247fd4.jpg,76,183,114,311,no_glove
99,kp1087_jpg.rf.0fea9f246aa3af53371c7171d0612d66.jpg,213,322,238,342,goggles
100,fglov127_jpg.rf.0fda309427764fc6a523df66f2c23b35.jpg,152,31,188,72,no_glove
104,kp1263_jpg.rf.0fdc01d6e63e89642e647579338ddeb4.jpg,221,285,251,313,goggles
105,PP02img177_jpg.rf.0fe9c0da8c7eb31b7e3f82d3535525a9.jpg,55,233,84,352,no_glove
110,kp447_jpg.rf.0fe5865ff7b3c76d86399c5574e36cd5.jpg,226,301,251,326,goggles
111,img253_jpg.rf.0fd8bc1d2e7d23fcbdad09926bdcdc97.jpg,239,189,297,290,glove
116,packing1734_jpg.rf.0fff56c32671e39d7313030b0c3ccfd7.jpg,49,162,75,190,goggles
118,frame481_jpg.rf.0fec8eb3999cdc9f5c78b3631c3d48cc.jpg,279,150,345,360,no-suit
120,packing195_jpg.rf.1026590652b1b07c57f4a1f149c54e65.jpg,99,83,124,99,goggles
121,packing766_jpg.rf.0fe4e49d6be1601157bfb54d3dfc219a.jpg,329,154,348,173,goggles
123,packing1782_jpg.rf.100ffcb44cf0c92c045feed7dfe7281b.jpg,101,86,128,111,goggles
125,fglov122_jpg.rf.100c77df8dfdfb9f5a7d253a6eadbf06.jpg,132,221,173,288,glove
129,packing560_jpg.rf.0ff0b09b655dea91f8ec25f122bcd911.jpg,139,115,161,133,no_goggles
131,PP02img535_jpg.rf.101e4101016343966e60b3d0b5ffa6f9.jpg,85,135,105,183,no_glove
139,packing218_jpg.rf.0f9ec0296530932a3b7040c11e8844fb.jpg,89,81,114,103,goggles
141,packing1247_jpg.rf.0ff99d58966563ab6b1153ab61657b46.jpg,105,98,130,120,no_goggles
142,img303_jpg.rf.0fffd00eb178e0336c3e7e2c1fee5d92.jpg,313,169,375,232,glove
147,nglov191_jpg.rf.102bae9c125f9048b14cabee4b29afbb.jpg,51,209,112,327,no_glove
150,kp966_jpg.rf.1016fadb26240ada310a8e2ce9fc90f8.jpg,158,291,185,317,goggles
151,packing1730_jpg.rf.1033c15eb2ca736973f67a2d4fb0e54c.jpg,328,159,346,184,goggles
153,kp352_jpg.rf.103f69cd88fd4fb080e6b0b210343918.jpg,234,309,260,334,goggles
154,PP02img1003_jpg.rf.1045c88ad2c9879072632194b20064e0.jpg,116,203,151,254,glove
157,kp756_jpg.rf.1025cdfc458cca15b8e100078a753fde.jpg,229,283,254,303,goggles
158,packing706_jpg.rf.100357f3b08a2fc9d1605d4d779a9c1b.jpg,95,105,118,127,goggles
159,kp1126_jpg.rf.104a2e964d3cc9816d52e6e5d8b06dd6.jpg,169,313,193,335,no_goggles
160,kp1270_jpg.rf.102a2f32d45678847bbd5bf6a1bdff93.jpg,165,288,195,310,goggles
161,kp1934_jpg.rf.1037cbfb9103bc2d03c334c2395358c3.jpg,154,322,182,345,no_goggles
162,kp1888_jpg.rf.1044c288f66ac138f3cf95326f20ec13.jpg,164,324,194,346,no_goggles
163,packing1292_jpg.rf.105124b9c7de65c5aec34f32ec269c6b.jpg,96,118,124,141,no_goggles
165,packing1286_jpg.rf.101ea15bca179dbac7ab29c25b71a5a5.jpg,129,107,151,130,no_goggles
167,PP02img1044_jpg.rf.105aab3e773da983d0d88893bdf8cdd7.jpg,52,204,80,238,glove
170,kp250_jpg.rf.1056353ae7ddcab956d192d7d53936c9.jpg,207,294,232,319,goggles
171,packing1085_jpg.rf.106863eaffe09a25a9308b55023ab801.jpg,79,137,105,164,no_goggles
173,packing22_jpg.rf.10661d40180f78e87fd48560e6d8a189.jpg,289,91,309,105,no_goggles
174,kp1969_jpg.rf.106a3652d5c3d6b2b62c6313d66e41b1.jpg,153,314,180,339,no_goggles
175,goggle8765194_jpg.rf.102c8ac130ef9c089c287991ee39d104.jpg,131,42,190,111,no_glove
180,frame14_jpg.rf.1047e502cc61ca532f31ee01aee82ca0.jpg,86,172,167,389,suit
181,kp1959_jpg.rf.105acb23f5f858537f82d8842a25d655.jpg,250,312,280,337,no_goggles
183,packing1859_jpg.rf.105b02a806671be6f36913ecc26793b9.jpg,320,153,351,174,goggles
184,PP02img290_jpg.rf.107162809530fae1c89c154ebaa1cf68.jpg,48,195,72,259,no_glove
190,packing1661_jpg.rf.105d9664902e3d4f614cae8d7783e684.jpg,93,75,122,96,no_goggles
192,packing1420_jpg.rf.107194dbef5b3acd1c7ab36a3b22c0c8.jpg,316,130,344,151,no_goggles
194,packing1687_jpg.rf.103e05dad0f8e26a7eef9725685db21d.jpg,111,76,135,100,no_goggles
197,kp1189_jpg.rf.107d3d1c7422fb6dd484ee20fe6c5d23.jpg,209,304,244,332,goggles
198,kp1171_jpg.rf.106b584d543ad5abc18ec0b4a3a07f6d.jpg,218,281,253,309,goggles
199,packing1999_jpg.rf.1082d7ee316ef3e0ae3d76f4f28d20c6.jpg,347,142,380,172,goggles
200,kp168_jpg.rf.1077318cdc7262504c55694966654425.jpg,222,290,246,317,goggles
202,frame144_jpg.rf.107f9f8350e03fc94d8142a3da8b6a9c.jpg,361,212,416,416,no-suit
205,packing587_jpg.rf.10737da13e5b9bbfd7edbfaa945b3af7.jpg,61,141,88,159,goggles
207,packing1494_jpg.rf.108bb6892732b49e734e7cf4201a39bc.jpg,281,91,304,111,no_goggles
208,packing1456_jpg.rf.1097a294013f4cfa4ff830bd769826c3.jpg,104,92,130,115,no_goggles
210,kp302_jpg.rf.10b6798a51b3afdddee18be50cf603b8.jpg,228,312,255,342,goggles
211,packing1188_jpg.rf.10854f096532e4fc7123cfbae982fbd9.jpg,302,103,328,126,no_goggles
212,packing626_jpg.rf.104a4e8d9825dedf0e45ad126e7a417e.jpg,62,153,83,172,goggles
213,nglovpp278_jpg.rf.109d9395492cbded3976d7344710737e.jpg,187,103,228,139,no_glove
215,packing1120_jpg.rf.10709f62f8ab6b9a050a812284dfcd0f.jpg,302,124,329,149,no_goggles
217,PP02img1318_jpg.rf.10820d949a2c046065ddb035b8f14fc6.jpg,331,150,358,200,glove
224,kp1103_jpg.rf.10a00198bcee18b89700e5bf21a84466.jpg,224,321,250,340,no_goggles
225,kp1009_jpg.rf.108f4f062b3454a3b09b3052924e1653.jpg,179,290,206,315,goggles
226,PP02img860_jpg.rf.10b2459ef89290ebc68d58af4dc25929.jpg,275,119,324,159,no_glove
227,kp1628_jpg.rf.1086db2ddbc19f7d8ed9326d0f8d3261.jpg,233,298,260,324,no_goggles
228,frame2205_jpg.rf.108eb4d5b592d265e9ec1962b8817464.jpg,102,114,174,338,suit
229,packing179_jpg.rf.1086d060345f591a511d3b6a494288e5.jpg,266,96,290,108,no_goggles
232,kp908_jpg.rf.10a70eab6938d57d137841190f401885.jpg,232,292,261,316,goggles
233,PP02img1046_jpg.rf.10bb72db6d68ae068fb15942d416b062.jpg,98,259,121,324,glove
236,nglovpp264_jpg.rf.10c49b88b70ba3f06ef07c2b67346241.jpg,210,117,260,163,no_glove
240,PP02img1473_jpg.rf.10887d2db1f94a6824f38d44fe94fbdd.jpg,338,194,372,233,glove
243,PP02img618_jpg.rf.10d18e0d0d135bc40f309fa21c7afa3d.jpg,146,144,167,216,no_glove
247,nglovpp2142_jpg.rf.10ba2f4756bc5fb31f1a5b6dd248b0fe.jpg,99,194,161,301,no_glove
249,kp1916_jpg.rf.10b132ec762aa92535678f94469980df.jpg,228,302,258,324,no_goggles
250,fglov179_jpg.rf.10c28f755d090dc853430ba997becdbd.jpg,168,68,194,109,glove
254,kp1614_jpg.rf.10c4c7d8c8eb19f1ce4ad71e7c5e001b.jpg,161,307,192,328,no_goggles
255,kp1919_jpg.rf.10dfaa7b0766b335439018e9ecf1b0d0.jpg,162,311,190,331,no_goggles
256,nglovpp3189_jpg.rf.10a258781600fa2cafb962527092db1d.jpg,217,154,277,204,no_glove
257,PP02img1028_jpg.rf.10db2e91cbb04209a1b72e7ea4802b2d.jpg,41,201,80,236,glove
261,packing1336_jpg.rf.10d49184532b53e45b39ddc8d693a15d.jpg,298,87,321,111,no_goggles
263,packing611_jpg.rf.10f28b9b3d1fde95bd3de61601b1b4e5.jpg,63,131,89,151,goggles
265,frame23_jpg.rf.10c2abbb031615f15c1e4f9265d07abd.jpg,252,150,327,362,suit
266,nglovpp2114_jpg.rf.10f33c2f3048cd0c7350f34386c6f812.jpg,181,109,232,156,no_glove
269,kp180_jpg.rf.10a70394d1a8dd6d06cee3c1a4e36ba1.jpg,166,289,198,310,goggles
270,PP02img1169_jpg.rf.10d24c8a09e55679e98fc4a8dd54d86e.jpg,74,240,108,282,glove
271,PP02img1139_jpg.rf.10e4b3811ca9d57582f4194197316d98.jpg,48,159,90,201,glove
277,nglovpp288_jpg.rf.10e56f571312634b6282b5f9e81ef598.jpg,209,138,246,188,no_glove
280,goggle876574_jpg.rf.108f301233c138be756a30f776d211b9.jpg,14,228,51,309,glove
284,kp1878_jpg.rf.1107146cfb67b173b5fb3ebc4503a64d.jpg,160,309,187,331,no_goggles
285,packing1471_jpg.rf.10ff66887d21867d754bed9867c28661.jpg,303,86,328,112,no_goggles
287,kp1999_jpg.rf.10eabe9728b48b59021223075b02f397.jpg,168,308,195,332,no_goggles
288,kp1662_jpg.rf.1136d46e78646f4ae11fa4c13ad140c5.jpg,240,295,266,319,no_goggles
289,packing1326_jpg.rf.1105094fabf6a63c724db674d9b82720.jpg,295,153,322,180,no_goggles
290,PP02img1359_jpg.rf.112dc8838f88b964a696a1fe4975dbf7.jpg,63,218,98,283,glove
294,PP02img480_jpg.rf.1145083c5620d51349a9232a3a9e9be9.jpg,282,164,331,225,no_glove
298,packing1673_jpg.rf.11269f13137be2255bdf5fa703b9ea06.jpg,69,142,92,168,goggles
300,nglovpp39_jpg.rf.11052e7eeec2618ab45408a3e56faa2f.jpg,109,166,169,218,no_glove
302,kp1888_jpg.rf.1132b2861e56e8722a8dce4ddc58cb90.jpg,226,317,255,339,no_goggles
303,packing552_jpg.rf.113846ad32a184d124586c73629bca20.jpg,329,131,350,150,goggles
304,PP02img759_jpg.rf.1119a8d623a04f35c54fc19c98876d0a.jpg,103,213,134,314,no_glove
308,PP02img840_jpg.rf.11303e4d84166d203f66b9ae73e049ee.jpg,112,121,135,191,no_glove
310,packing772_jpg.rf.11370deac1ae164ae0f1e9cfd4be078d.jpg,344,151,366,177,goggles
311,packing160_jpg.rf.110c7f7100203b6b8a0ef351fa46e8bd.jpg,309,86,334,106,goggles
315,kp1091_jpg.rf.1159c7f2f898e8dd9113f0f0f8ce5a4a.jpg,84,241,112,257,no_goggles
317,packing1814_jpg.rf.113275bf68eea513bcd4be1b72d505c8.jpg,310,83,341,106,goggles
319,packing1415_jpg.rf.114d11594f83553a1535b92e6ddcb2e4.jpg,101,80,131,105,no_goggles
321,goggle876587_jpg.rf.113cf286bc449ec708d713fae2d540c9.jpg,267,39,308,76,no_glove
325,packing1546_jpg.rf.11303499d30c80b128ffc7fd0f3e1f98.jpg,293,80,321,109,no_goggles
326,kp523_jpg.rf.11576bc0d6979d937fc09106b11e9be3.jpg,251,307,283,332,goggles
328,kp178_jpg.rf.1142aafb30f81b0610236bbb50742953.jpg,153,303,182,329,goggles
329,kp1978_jpg.rf.1132749681dad6979e80e9d80aeb2b76.jpg,225,306,251,330,no_goggles
330,PP02img1092_jpg.rf.1161a8243248cbf5be22148b91869e98.jpg,69,234,111,271,glove
332,kp1130_jpg.rf.11398631588ba1a54fb170afc14bdb39.jpg,235,311,263,334,no_goggles
333,kp1390_jpg.rf.1162e0d58706d73ecf1f75b94d917ead.jpg,161,317,194,338,goggles
334,packing1479_jpg.rf.115eb24294e444e63f7d1dd79058f28a.jpg,117,97,143,122,no_goggles
336,packing802_jpg.rf.1148a1ea444872cf0b5fd6d47bf3cea9.jpg,344,138,366,160,goggles
337,frame2217_jpg.rf.11794a85272f2b2f7fe3e34aa3569a42.jpg,238,109,310,334,suit
338,kp1468_jpg.rf.11808fb26dc354ab83d13d11a1580678.jpg,149,312,183,335,goggles
339,packing1163_jpg.rf.1183645be1f2600d00246ae566ef47e4.jpg,43,152,77,173,no_goggles
342,nglovpp2199_jpg.rf.1179a4361701cf014f0c0e5c611cae73.jpg,214,99,257,142,no_glove
345,nglov53_jpg.rf.116e69f307a048f0667ed42b924b3ce2.jpg,171,10,212,68,no_glove
346,packing193_jpg.rf.1186decb7f94672f1400eba0c12aaffe.jpg,121,93,146,112,goggles
347,PP02img331_jpg.rf.1181a2268a2c3e3eef8945a4226eb0a7.jpg,270,209,335,269,no_glove
354,PP02img532_jpg.rf.11117a60f9a22483c40bba6e78b320e3.jpg,336,165,356,268,no_glove
359,packing792_jpg.rf.117d0fa7b50e3f742f275038126ef1f6.jpg,51,133,74,156,goggles
360,PP02img596_jpg.rf.118b08db5f40206758bb0280454c759d.jpg,118,143,145,216,no_glove
362,packing794_jpg.rf.11968af6d2f30bb6f32761d461c9c657.jpg,57,134,77,157,goggles
363,kp478_jpg.rf.11d225284fa3e6ada4da4999634b4a11.jpg,157,315,181,335,goggles
364,frame2203_jpg.rf.117af12ceab524061a3fb414e0f56f49.jpg,89,94,167,337,suit
365,PP02img874_jpg.rf.119ce3285e8e09d330ee0901c2575955.jpg,260,145,301,207,no_glove
366,kp1098_jpg.rf.11b4879dfeee2cf58640d563ae379d99.jpg,161,297,189,316,goggles
368,frame519_jpg.rf.11b91af7a5c4ae8e843aa825078f1011.jpg,223,243,290,416,no-suit
370,fglov1144_jpg.rf.119e9b288f8374f93e570fb1c5ad5151.jpg,112,0,138,62,no_glove
374,kp1474_jpg.rf.11869a2ce639ff368d2fbf59e0a2d302.jpg,161,288,191,314,goggles
375,frame454_jpg.rf.11c6a43ffc0c70ccef9ef4ebd93f46dc.jpg,109,156,173,365,no-suit
376,packing1878_jpg.rf.11bad3a9081dc9abf9e257415b540ea7.jpg,56,150,82,181,goggles
377,packing1648_jpg.rf.11994cfb532c0bbe1b82e88b61fe19e5.jpg,56,138,82,163,goggles
378,PP02img16_jpg.rf.11da65bf45942acd447b0dd34a53c887.jpg,13,209,65,257,no_glove
383,PP02img549_jpg.rf.11af02d4c31d627ffc5262cbbc2d165f.jpg,368,152,391,219,no_glove
390,frame474_jpg.rf.11f6d186011463deb48cdf4adaa979bd.jpg,107,144,171,353,no-suit
391,kp633_jpg.rf.11b9c0375c0a7f9b1853a0a107498b20.jpg,25,248,48,270,no_goggles
393,kp1112_jpg.rf.11ee707a3fb1306109d45a35e5939b0e.jpg,235,320,267,343,no_goggles
394,packing120_jpg.rf.11a1b3628b5710457a7bf12b487e3139.jpg,67,159,86,179,goggles
397,PP02img599_jpg.rf.11ed32387cc85cf83e13caae0c65056c.jpg,351,171,384,220,no_glove
404,PP02img913_jpg.rf.11ba16ddd8caafc325f86b7a1472bdcb.jpg,269,147,307,193,no_glove
405,PP02img991_jpg.rf.11aa7fc2d95b7c352eb6457905dc98ef.jpg,255,73,305,296,no-suit
407,packing294_jpg.rf.11d65a52080138882f048b54f9b4208f.jpg,290,103,312,118,no_goggles
409,packing291_jpg.rf.11e1d83a4d9f22f82a013705ca67a7f0.jpg,289,83,318,105,no_goggles
410,PP02img1470_jpg.rf.120ad3e0e18bd411b8d04e92bd4bf791.jpg,302,218,348,260,glove
414,frame1077_jpg.rf.11f0627b2106b372209cc34b290735c4.jpg,0,155,53,348,no-suit
415,kp693_jpg.rf.11e84d91d013354fed3531ce54e64aa2.jpg,159,331,189,357,goggles
416,kp947_jpg.rf.11f69063e7039f3f20bc274bedbc1252.jpg,230,288,260,315,goggles
417,goggle8765160_jpg.rf.1207041a54a1fa9467efebaf7beab812.jpg,371,204,403,273,glove
419,kp562_jpg.rf.11de908e78cc5d0db66eda98696b99bd.jpg,20,273,45,295,no_goggles
421,packing1234_jpg.rf.1230ea00f37e7aa55b76097e26111d03.jpg,99,112,124,131,no_goggles
423,kp207_jpg.rf.11f5cf8f5e45ab697ffeaf536192e336.jpg,223,297,248,324,goggles
424,PP02img902_jpg.rf.1244f563d16d7973240f6d591c9fcbfb.jpg,217,186,274,250,no_glove
425,PP02img637_jpg.rf.1211742ed411d399b546015d9184d96b.jpg,6,197,40,251,no_glove
428,packing1535_jpg.rf.1231a64552ee14d7ed43fc8fa8b55a14.jpg,317,52,345,76,no_goggles
429,nglovpp2102_jpg.rf.11dcc9a2405f67ed646804ba96ac3f73.jpg,172,115,212,156,no_glove
433,kp731_jpg.rf.12045cf522b5cce6863380f777701785.jpg,163,294,194,314,goggles
434,packing1264_jpg.rf.120abdefa54370c953e9c8f5539e778d.jpg,75,96,101,119,no_goggles
436,frame2148_jpg.rf.1216e828d4cc37cdb4d97426a54de42b.jpg,248,105,327,342,suit
437,PP02img1325_jpg.rf.123686e19975c986621fad407229f6ae.jpg,349,197,392,246,glove
443,packing642_jpg.rf.1223d2cdd69ebd6b6ec0e98c499f4b3b.jpg,44,151,66,174,goggles
444,goggle876552_jpg.rf.124dff40e15c937be913a1200ca54555.jpg,224,15,262,49,no_glove
446,fglov1179_jpg.rf.124c1bf1bde5a4a80bdf72666c804f87.jpg,351,203,376,300,glove
447,nglov28_jpg.rf.124827875340173825606b80293f89dd.jpg,45,193,88,288,glove
452,packing795_jpg.rf.124f638a1972d3c8809fdd44f318f06d.jpg,87,97,111,117,goggles
455,kp453_jpg.rf.121d642c88c0173ef5859387c9a87df1.jpg,161,310,186,335,goggles
456,packing118_jpg.rf.12556e67647be68b78b1005abf30ce94.jpg,63,149,83,166,goggles
459,PP02img126_jpg.rf.11f66c52c2db03ceacbfa83c9bd22e4d.jpg,291,189,326,274,no_glove
464,kp352_jpg.rf.1215761c44ad1198abd0d61f9deeb950.jpg,238,320,265,345,goggles
465,kp1920_jpg.rf.126b0a829d5be5c3fae80487d31e48f4.jpg,161,308,189,332,no_goggles
466,PP02img420_jpg.rf.1254cb35cc2380ef084b28a047d4601e.jpg,301,194,328,274,no_glove
472,PP02img4_jpg.rf.1282538770a7fe15945606efeecb4ec9.jpg,115,197,148,291,no_glove
475,packing1466_jpg.rf.126b7a3e18eb60b473ae9ef99d04c881.jpg,291,100,314,121,no_goggles
477,img399_jpg.rf.1227c175a5b9becbb7a8379510aa1c36.jpg,186,28,233,110,no_glove
480,PP02img1227_jpg.rf.12648a1789acaf0837bf49125ef60808.jpg,332,157,374,204,glove
484,packing304_jpg.rf.12605738a44629772e75bcf136821fec.jpg,108,83,131,106,no_goggles
485,packing1553_jpg.rf.125bb7f4402e9bf371131907a75a0ff9.jpg,291,90,313,112,no_goggles
487,img319_jpg.rf.12496833d74601ae4360f78d954a6b3b.jpg,34,183,87,256,glove
491,goggle876543_jpg.rf.12b10ffbddcc91dd0a8be49685bde2d2.jpg,250,41,296,73,no_glove
492,fglov181_jpg.rf.1298abb550b8f22d9fbff69194529690.jpg,275,184,319,258,glove
495,kp632_jpg.rf.1291268be53ad03e250029c78c2ed3fe.jpg,213,277,237,303,goggles
497,packing1473_jpg.rf.1273ad845075b2ab0a009309e397953a.jpg,54,105,81,133,no_goggles
499,kp1931_jpg.rf.12890da9d68766dd8a2d21b92a7b5f20.jpg,80,270,102,293,no_goggles
501,frame476_jpg.rf.1290296b137dba1e7ed8296d4ca23755.jpg,269,127,337,345,no-suit
502,kp1038_jpg.rf.12890b3e782d7ce83383f5fa592d5c36.jpg,159,321,191,351,goggles
503,img308_jpg.rf.126284ec5e18b25ee65e824424c49917.jpg,42,125,80,202,glove
505,packing1436_jpg.rf.126c5382921a30d2efef945d52823b0e.jpg,331,142,354,162,no_goggles
507,kp1280_jpg.rf.12937a18e827e399f828d46a859f4066.jpg,227,296,256,326,goggles
508,packing726_jpg.rf.128e94a2af99a863b58d63ec6fcf0d44.jpg,106,105,130,130,goggles
509,PP02img1303_jpg.rf.12a49df9aedff3cf764b3172869eaf18.jpg,350,203,388,245,glove
513,img270_jpg.rf.12b73b297e9afbc5b549870f92af05a3.jpg,85,192,126,284,glove
516,kp483_jpg.rf.128f0d00049c97632955c64ef5ab30e4.jpg,159,320,188,342,goggles
517,packing640_jpg.rf.129b9e58edf398884db7435b6e5bbdeb.jpg,313,104,335,126,goggles
519,kp150_jpg.rf.128bf823eef43a2c7b11adb55ddf1691.jpg,226,291,251,311,goggles
520,PP02img230_jpg.rf.12b4dab4051ebba63000e1a0a741dacd.jpg,317,227,360,334,no_glove
524,packing331_jpg.rf.12a6d821b9b185aee58c9efc3c5333e4.jpg,327,149,346,166,goggles
525,packing804_jpg.rf.12ab56e4ad89978aaefd43f0dad36775.jpg,85,144,110,169,goggles
526,kp49_jpg.rf.12c4a198845d941bad76b82063b14df7.jpg,170,295,203,316,no_goggles
527,kp1903_jpg.rf.12bc6436fbaf81f2903c3d33a5a00037.jpg,250,312,276,336,no_goggles
528,goggle876526_jpg.rf.12b6eece4eaecfb2855fc22b19f55442.jpg,330,213,363,317,glove
531,packing1361_jpg.rf.12dad535fd3120b93b4dbcb92311ab71.jpg,73,123,107,151,no_goggles
533,img437_jpg.rf.12c73a7cbeb85b74c27f96ba1eb5ec20.jpg,27,133,73,209,glove
537,kp768_jpg.rf.12c06eab36ad90bda2e0aa3aa1a3eda9.jpg,216,280,246,306,goggles
538,kp578_jpg.rf.12e5f83ef560d63c4b52e5ed0f742d9b.jpg,1,272,24,296,no_goggles
540,PP02img1291_jpg.rf.12dce0d51d4cd92d9b5b176b9b18271b.jpg,304,224,344,272,glove
542,PP02img556_jpg.rf.12bced96f559b1e48d2f8170cbc4f3b5.jpg,6,143,27,179,glove
548,kp356_jpg.rf.12f0498124806f35da93e4dde4b94cc7.jpg,161,308,186,335,goggles
549,packing1978_jpg.rf.12bfeb4a1154cd41075c5bee3dc704d1.jpg,329,158,356,187,goggles
550,PP02img153_jpg.rf.12cf58560e8dbaeef14df7b6382dea3f.jpg,270,163,318,229,no_glove
553,kp1682_jpg.rf.12c2ee4ec58e95d5dc8a8ea20db45edc.jpg,132,314,157,339,no_goggles
554,packing1446_jpg.rf.12ddfd1649fb66bde4c86f04ab064f56.jpg,89,105,115,132,no_goggles
555,kp1244_jpg.rf.12cdc6272628aeb72b7c9c044afd2fe4.jpg,227,281,263,308,goggles
556,frame2360_jpg.rf.12cad8a38a3ae8c45caefdc933dddf96.jpg,47,120,122,327,suit
557,kp676_jpg.rf.12ceace94074f70e1471bad409f9ded0.jpg,223,308,248,334,goggles
558,PP02img1168_jpg.rf.12ca90aa6d0831c927af4a47ed18bd64.jpg,63,213,107,254,glove
560,packing1000_jpg.rf.12fc5880d80ab67bbef0847317e12cf8.jpg,335,99,358,127,goggles
562,packing297_jpg.rf.12d41ced477636a98f9585b2f0ca63d0.jpg,242,111,264,135,no_goggles
563,packing80_jpg.rf.1304d1745c8c3b57bba4a9ceef7ae907.jpg,293,85,311,98,no_goggles
